Neo Name,Min Estimated Diameter (km),Max Estimated Diameter (km)
111253 (2001 XU10),2.4353140627,5.4455277909
105140 (2000 NL10),1.8991312347,4.246586539
99935 (2002 AV4),1.6389095149,3.6647130844
106589 (2000 WN107),1.6313794097,3.6478752572
100756 (1998 FM5),1.4947032424,3.3422580561
106538 (2000 WK63),1.4809997207,3.3116160501
100004 (1983 VA),1.4606796427,3.2661789745
101873 (1999 NC5),1.4013769717,3.1335741707
100926 (1998 MQ),1.2432400055,2.7799691647
103067 (1999 XA143),1.1656145947,2.6063934693
102873 (1999 WK11),0.8561600847,1.9144321491
100085 (1992 UY4),0.7320739893,1.6369672047
108906 (2001 PL9),0.7154099509,1.599705282
108519 (2001 LF),0.7121229407,1.5923553038
99907 (1989 VA),0.7023522477,1.57050737
99799 (2002 LJ3),0.5656593584,1.2648527775
105141 (2000 NF11),0.4350658314,0.9728367737
101869 (1999 MM),0.3841978911,0.8590926012
99942 Apophis (2004 MN4),0.3051792326,0.6824015094
101955 Bennu (1999 RQ36),0.2435314063,0.5445527791
